YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2017,2017,OR,Oregon,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.1,4.1,,,3.7,4.5,Gender,Male,,,,,,41,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2015,2015,SD,South Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2,2,,,1.7,2.3,Gender,Male,,,,,,46,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2011,2011,VT,Vermont,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4,4,,,3.6,4.3,Gender,Female,,,,,,50,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2013,2013,IN,Indiana,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,17.4,17.4,,,15.2,20,Overall,Overall,,,,,,18,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2011,2011,NM,New Mexico,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,14,14,,,12,16.2,Overall,Overall,,,,,,35,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2017,2017,PA,Pennsylvania,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,17,17,,,14.3,20.1,Overall,Overall,,,,,,42,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2012,2012,VT,Vermont,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,17.1,17.1,,,14.1,20.7,Overall,Overall,,,,,,50,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,MD,Maryland,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,7.3,7.3,,,5.5,9.5,Overall,Overall,,,,,,24,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,GU,Guam,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,66,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,KS,Kansas,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,20,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,NH,New Hampshire,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,33,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,WV,West Virginia,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,13.5,13.5,,,11.5,15.7,Overall,Overall,,,,,,54,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,AK,Alaska,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,2,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,NC,North Carolina,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,37,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,NV,Nevada,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,32,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,FL,Florida,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,12,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,DC,District of Columbia,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,11,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,MN,Minnesota,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,8.4,8.4,,,6.8,10.2,Overall,Overall,,,,,,27,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,SC,South Carolina,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,45,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,US,United States,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,59,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,CA,California,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,6,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,OK,Oklahoma,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,14.9,14.9,,,12.2,18.1,Overall,Overall,,,,,,40,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,ME,Maine,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,9.4,9.4,,,7.5,11.7,Overall,Overall,,,,,,23,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,SD,South Dakota,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,46,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,WA,Washington,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,12,12,,,9.8,14.6,Overall,Overall,,,,,,53,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,IA,Iowa,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,19,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,AL,Alabama,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,1,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,NY,New York,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,9.8,9.8,,,7.7,12.3,Overall,Overall,,,,,,36,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,CO,Colorado,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,9.9,9.9,,,8.2,11.8,Overall,Overall,,,,,,8,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,GA,Georgia,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,8.2,8.2,,,6.2,10.7,Overall,Overall,,,,,,13,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,MS,Mississippi,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,28,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,OR,Oregon,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,12.6,12.6,,,10.4,15.2,Overall,Overall,,,,,,41,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,TN,Tennessee,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,47,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,OH,Ohio,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,39,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,IN,Indiana,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,18,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,MO,Missouri,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,12.1,12.1,,,10.1,14.4,Overall,Overall,,,,,,29,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,AR,Arkansas,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,18,18,,,14.8,21.6,Overall,Overall,,,,,,5,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,LA,Louisiana,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,22,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,NM,New Mexico,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,12.2,12.2,,,10.6,14,Overall,Overall,,,,,,35,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,VA,Virginia,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,51,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,HI,Hawaii,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,6.9,6.9,,,5.5,8.7,Overall,Overall,,,,,,15,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,CT,Connecticut,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,9,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,WY,Wyoming,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,11.3,11.3,,,8.8,14.4,Overall,Overall,,,,,,56,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,TX,Texas,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,48,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,PA,Pennsylvania,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,10.3,10.3,,,8.4,12.5,Overall,Overall,,,,,,42,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,MT,Montana,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,30,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,MA,Massachusetts,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,25,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,PR,Puerto Rico,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,72,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,AZ,Arizona,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,4,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,IL,Illinois,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,17,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,NJ,New Jersey,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,7.2,7.2,,,5.8,8.8,Overall,Overall,,,,,,34,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,VT,Vermont,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,9.7,9.7,,,8.1,11.7,Overall,Overall,,,,,,50,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,UT,Utah,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,15.3,15.3,,,13.3,17.5,Overall,Overall,,,,,,49,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,MI,Michigan,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,9.4,9.4,,,7.8,11.3,Overall,Overall,,,,,,26,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,KY,Kentucky,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,21,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,ND,North Dakota,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,38,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,WI,Wisconsin,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,10.3,10.3,,,8.2,12.9,Overall,Overall,,,,,,55,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,ID,Idaho,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,16,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,NE,Nebraska,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,10.5,10.5,,,8.8,12.4,Overall,Overall,,,,,,31,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,DE,Delaware,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,10,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,RI,Rhode Island,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,10.3,10.3,,,8.5,12.5,Overall,Overall,,,,,,44,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2009,2011,VI,Virgin Islands,PRAMS,Mental Health,Postpartum depressive symptoms,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,78,MTH,MTH3_0,CRDPREV,OVERALL,OVR,,,,
2016,2016,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.2,4.2,,,4,4.4,Overall,Overall,,,,,,18,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2016,2016,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.2,3.2,,,2.9,3.5,Gender,Male,,,,,,39,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2019,2019,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.9,3.9,,,3.4,4.3,Gender,Male,,,,,,40,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2013,2013,IA,Iowa,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.9,2.9,,,2.7,3.1,Overall,Overall,,,,,,19,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2011,2011,NM,New Mexico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4,4,,,3.7,4.2,Overall,Overall,,,,,,35,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2015,2015,TX,Texas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.6,3.6,,,3.3,4,Gender,Female,,,,,,48,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2014,2014,MT,Montana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.9,3.9,,,3.5,4.3,Gender,Female,,,,,,30,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2018,2018,AL,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.9,3.9,,,3.5,4.4,Gender,Male,,,,,,1,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2014,2014,US,United States,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.6,3.6,*,50 States + DC: US Median,3.4,3.8,Overall,Overall,,,,,,59,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2014,2014,VI,Virgin Islands,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Overall,Overall,,,,,,78,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2015,2015,TX,Texas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.2,3.2,,,3,3.5,Overall,Overall,,,,,,48,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2011,2011,AR,Arkansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.7,4.7,,,4,5.4,Gender,Male,,,,,,5,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2014,2014,KS,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.5,2.5,,,2.2,2.7,Gender,Male,,,,,,20,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2013,2013,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.7,2.7,,,2.5,2.9,Overall,Overall,,,,,,15,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2013,2013,MN,Minnesota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.5,2.5,,,2.2,2.8,Gender,Male,,,,,,27,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2018,2018,VI,Virgin Islands,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Gender,Male,,,,,,78,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2019,2019,MI,Michigan,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,5,5,,,4.8,5.2,Overall,Overall,,,,,,26,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2015,2015,VI,Virgin Islands,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Overall,Overall,,,,,,78,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2018,2018,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.3,3.3,,,3,3.6,Gender,Female,,,,,,15,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2013,2013,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.7,4.7,,,4.4,5,Gender,Female,,,,,,18,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2017,2017,HI,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.1,4.1,,,3.3,4.9,Race/Ethnicity,Hispanic,,,,,,15,MTH,MTH1_0,AGEADJMEAN,RACE,HIS,,,,
2018,2018,WI,Wisconsin,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,55,MTH,MTH2_0,CRDPREV,RACE,MRC,,,,
2011,2011,ND,North Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,5,5,,,3.4,6.7,Race/Ethnicity,"Other, non-Hispanic",,,,,,38,MTH,MTH1_0,AGEADJMEAN,RACE,OTH,,,,
2018,2018,UT,Utah,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,11.5,11.5,,,8.9,14.8,Race/Ethnicity,Hispanic,,,,,,49,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2015,2015,WI,Wisconsin,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4,4,,,2.6,5.4,Race/Ethnicity,"Black, non-Hispanic",,,,,,55,MTH,MTH1_0,MEAN,RACE,BLK,,,,
2015,2015,MO,Missouri,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.8,3.8,,,2.2,5.5,Race/Ethnicity,"Other, non-Hispanic",,,,,,29,MTH,MTH1_0,AGEADJMEAN,RACE,OTH,,,,
2016,2016,IL,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3,3,,,2.6,3.4,Gender,Male,,,,,,17,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
2013,2013,TX,Texas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3,3,,,2.6,3.3,Race/Ethnicity,Hispanic,,,,,,48,MTH,MTH1_0,AGEADJMEAN,RACE,HIS,,,,
2012,2012,CT,Connecticut,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,12.5,12.5,,,10.1,15.5,Race/Ethnicity,"White, non-Hispanic",,,,,,9,MTH,MTH2_0,CRDPREV,RACE,WHT,,,,
2018,2018,MO,Missouri,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,18,18,,,15.2,21.2,Race/Ethnicity,"White, non-Hispanic",,,,,,29,MTH,MTH2_0,CRDPREV,RACE,WHT,,,,
2013,2013,NJ,New Jersey,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,6.2,6.2,,,3.2,9.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,34,MTH,MTH1_0,MEAN,RACE,MRC,,,,
2013,2013,RI,Rhode Island,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,16,16,,,9.6,25.6,Race/Ethnicity,Hispanic,,,,,,44,MTH,MTH2_0,CRDPREV,RACE,HIS,,,,
2016,2016,NC,North Carolina,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.4,4.4,,,4.1,4.8,Gender,Female,,,,,,37,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2011,2011,ID,Idaho,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,7.3,7.3,,,4,10.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,16,MTH,MTH1_0,AGEADJMEAN,RACE,MRC,,,,
2016,2016,ID,Idaho,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,16,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
2018,2018,IL,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,5.2,5.2,,,4.2,6.3,Race/Ethnicity,"Black, non-Hispanic",,,,,,17,MTH,MTH1_0,MEAN,RACE,BLK,,,,
